book_name,grouping,chapter,verse,mode
Sirakh,deutero,26,22,strict
Sirakh,deutero,26,23,strict
Sirakh,deutero,26,24,strict
Sirakh,deutero,26,25,strict
Sirakh,deutero,26,26,strict
Sirakh,deutero,26,27,strict
Sirakh,deutero,30,26,strict
Sirakh,deutero,30,27,strict
Sirakh,deutero,30,28,strict
Sirakh,deutero,32,25,strict
Sirakh,deutero,32,26,strict
Sirakh,deutero,32,27,strict
Sirakh,deutero,32,28,strict
Sirakh,deutero,32,29,strict
Sirakh,deutero,32,30,strict
Sirakh,deutero,34,27,strict
Sirakh,deutero,34,28,strict
Sirakh,deutero,34,29,strict
Sirakh,deutero,34,30,strict
Sirakh,deutero,34,31,strict
Sirakh,deutero,34,32,strict
Sirakh,deutero,35,25,strict
Sirakh,deutero,35,26,strict
Sirakh,deutero,35,27,strict
Sirakh,deutero,35,28,strict
Sirakh,deutero,35,29,strict
Sirakh,deutero,35,30,strict
Sirakh,deutero,35,31,strict
Sirakh,deutero,35,32,strict
Sirakh,deutero,35,33,strict
Sirakh,deutero,36,28,strict
Sirakh,deutero,36,29,strict
Sirakh,deutero,36,30,strict
Sirakh,deutero,36,31,strict
Sirakh,deutero,36,32,strict
Sirakh,deutero,36,33,strict
Sirakh,deutero,36,34,strict
Sirakh,deutero,37,32,strict
Sirakh,deutero,37,33,strict
Sirakh,deutero,37,34,strict
Sirakh,deutero,37,35,strict
Sirakh,deutero,38,35,strict
Sirakh,deutero,38,36,strict
Sirakh,deutero,39,36,strict
Sirakh,deutero,39,37,strict
Sirakh,deutero,40,31,strict
Sirakh,deutero,40,32,strict
Sirakh,deutero,40,33,strict
Sirakh,deutero,40,34,strict
Sirakh,deutero,40,35,strict
Sirakh,deutero,40,36,strict
Sirakh,deutero,40,37,strict
Sirakh,deutero,40,38,strict
Sirakh,deutero,41,28,strict
Sirakh,deutero,41,29,strict
Sirakh,deutero,41,30,strict
Sirakh,deutero,41,31,strict
Sirakh,deutero,41,32,strict
Sirakh,deutero,41,33,strict
Sirakh,deutero,41,34,strict
